,street,n_words,words
78,Löneboställsgatan,10,"ala, alla, ele, enne, olo, otto, sees, tööt, älä, ässä"
79,Mannerheimvägen,7,"enne, hah, heh, häh, imaami, niin, ämmä"
80,Mechelingatan,8,"ala, alla, ele, enne, hah, heh, imaami, niin"
81,Mejlansvägen,10,"ajaja, ala, alla, ele, enne, sammas, sees, älä, ämmä, ässä"
82,Merikantovägen,6,"akka, enne, imaami, niin, otto, ämmä"
83,Messeniusgatan,10,"enne, imaami, isi, niin, sammas, sees, siis, sus, tuut, utu"
84,Mikael Lybecks gata,13,"akka, ala, alla, ele, imaami, isi, sammas, sees, siis, sylys, syys, tyyt, yty"
85,Minna Canths gata,6,"hah, imaami, isi, niin, sammas, siis"
86,Mississippisträket,6,"isi, piip, sees, siis, ämmä, ässä"
87,Nordenskiöldsgatan,13,"akka, ala, alla, ele, enne, isi, niin, olo, otto, sadas, sees, siis, tööt"
88,Nordenskiöldsstigen,9,"ele, enne, isi, niin, olo, otto, sees, siis, tööt"
89,Norra Stadionvägen,8,"enne, isi, niin, otto, sadas, sees, siis, ässä"
90,Oksakoskistigen,7,"akka, enne, isi, niin, otto, sees, siis"
91,Paasikivigatan,5,"akka, isi, niin, piip, siis"
92,Paavo Nurmis gränd,12,"imaami, isi, niin, opo, piip, pop, sadas, sammas, siis, sus, ämmä, ässä"
93,Paavo Nurmis väg,11,"imaami, isi, niin, opo, piip, pop, sammas, siis, sus, ämmä, ässä"
94,Paciusgatan,7,"isi, niin, piip, siis, sus, tuut, utu"
95,Paulagatan,4,"ala, alla, tuut, utu"
96,Päivärintagatan,2,"niin, piip"
97,Rosagatan,1,otto
98,Rosavillagatan,7,"ala, alla, isi, niin, olo, otto, siis"
99,Råholmsbanken,11,"akka, ala, alla, ele, enne, hah, heh, oho, olo, sammas, sees"
100,Råholmsvägen,10,"ele, enne, heh, häh, oho, olo, sees, älä, ämmä, ässä"
101,Salligatan,5,"ala, alla, isi, niin, siis"
102,Savilagatan,5,"ala, alla, isi, niin, siis"
103,Sibeliusgatan,11,"ala, alla, ele, enne, isi, niin, sees, siis, sus, tuut, utu"
104,Stenbäcksgatan,4,"akka, enne, sees, ässä"
105,Stockholmsgatan,8,"akka, ala, alla, hah, oho, olo, otto, sammas"
106,Tahkovägen,7,"akka, enne, hah, heh, häh, oho, otto"
107,Tallbackavägen,6,"akka, ala, alla, ele, enne, älä"
108,Tallbogränden,7,"ala, alla, ele, enne, olo, otto, älä"
109,Talluddsvägen,11,"ala, alla, ele, enne, sadas, sees, sus, tuut, utu, älä, ässä"
110,Tavaststjernagatan,3,"ajaja, enne, sees"
111,Toivogatan,2,"niin, otto"
112,Topeliusgatan,16,"ala, alla, ele, enne, isi, niin, olo, opo, otto, piip, pop, sees, siis, sus, tuut, utu"
113,Tölögatan,3,"ala, alla, tööt"
114,Tölötullsgatan,6,"ala, alla, sus, tuut, tööt, utu"
115,Valhallagatan,3,"ala, alla, hah"
116,Zaidagatan,1,niin
117,Östra Bockholmen ,13,"akka, ala, alla, ele, enne, hah, heh, oho, olo, otto, sammas, sees, tööt"
